Loan Number,Obligor Name,Outstanding Balance,Committed Exposure,Loan Type,Property Type,Collateral Type,Interest Rate,Origination Date,Maturity Date,Loan Status,Country,Currency,Lien Position,Participation Flag,Net Operating Income,Value at Origination,Debt Service Coverage Ratio,Loan to Value Ratio,Cumulative Charge-offs,Guarantor Name,Guarantor Rating,Syndicated Loan Flag,Credit Facility Type,Loan Grade,Borrower Industry Code,Internal Risk Rating,Payment Frequency,Disposition Flag,Cross Collateralized Loan Numbers,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Interest Coverage Ratio,Loan Default Probability
eff9ba64-a4d5-44e0-8699-006f9589efcc,Nicholson and Sons,44143966.97,38190312.84,Bridge Loan,Industrial,Equipment,9.56,2024-07-26,2030-04-27,Defaulted,SV,USD,First Lien,No,9237962.43,19251062.37,1.08,0.61,297340.78,"King, Johnson and Gonzalez",D,Yes,Expansion,CCC,6902,D,Monthly,Retained,qF-####,237133138.98,277060244.33,30293575.37,5688366.75,450835413.71,175260408.86,5044081.08,4.36,0.29
9b2aff6e-167c-4fc2-8b51-988ca4917e21,Summers Inc,4999535.83,29734687.08,Revolving Credit,Retail,Equipment,6.62,2020-07-13,2028-10-17,Active,GQ,EUR,Mixed,No,7301589.96,6857793.11,1.96,1.06,873683.93,Johnson-Kemp,D,Yes,Acquisition,B,9799,B,Monthly,Retained,Zh-####,301178886.52,382158428.3,16207109.29,5932857.16,161342203.95,196616015.36,18264509.82,8.4,0.22
b918aeb6-b4c9-48d6-99fa-c280f365b72a,Roy Inc,13540777.46,20177384.79,Revolving Credit,Industrial,None,4.43,2023-04-05,2026-10-13,Closed,DO,INR,Subordinate Lien,No,9610382.55,16432564.98,2.12,0.7,806124.22,Dean PLC,C,No,Working Capital,BBB,5632,C,Quarterly,Retained,aR-####,146269943.08,206334708.39,50828147.2,34584601.63,444537251.21,60149386.64,27388819.92,7.41,0.27
e33e5e11-2538-4e6f-bc88-a32e5e910719,Dickson-Morris,31870942.5,48990830.7,Term Loan,Office,Inventory,6.12,2023-07-12,2030-05-23,Defaulted,GY,INR,Mixed,No,5169762.74,17933414.31,1.54,1.48,369114.09,Henderson-Brown,E,Yes,Working Capital,A,9417,E,Monthly,Disposed,XH-####,327238579.01,229220444.96,67009014.64,18984119.92,368102391.16,176170614.0,18502289.25,2.43,0.06
c5311bc2-de89-44ff-9146-ee0a61b007ca,Barry Group,4101143.44,150917.24,Revolving Credit,Office,Real Estate,11.53,2024-07-01,2026-11-20,Defaulted,SC,USD,Subordinate Lien,No,8773272.74,7713659.75,2.71,1.31,551215.75,"Clark, Mora and Lewis",E,No,Expansion,BB,2177,C,Monthly,Retained,hW-####,101891445.63,368439602.79,55403224.69,1097773.1,139461208.33,14265434.93,26692391.38,3.48,0.06
954cc594-616d-4dc8-be9d-cb376dab50e9,"Melton, White and Lowe",41221144.24,10013833.35,Bridge Loan,Hotel,Equipment,3.12,2021-07-10,2032-05-23,Active,AT,GBP,Subordinate Lien,No,7132221.24,3958312.18,2.41,1.01,715944.61,Hayes-Cannon,D,No,Acquisition,AA,4861,E,Monthly,Disposed,SV-####,481198168.71,238084805.81,11128715.44,47921213.56,447335870.83,53306925.99,7993458.4,3.06,0.28
429811a5-8bb2-4e5d-827a-db02b43d3641,Rice Ltd,48511824.46,36158965.8,Revolving Credit,Mixed,Real Estate,3.98,2023-01-16,2033-02-04,Active,PA,EUR,First Lien,Yes,2359443.53,14420336.76,1.33,0.82,986892.13,Barron-Bullock,C,No,Refinancing,A,5572,A,Quarterly,Retained,cH-####,80842370.28,36309669.51,32246062.06,30336399.39,96848669.06,78560427.5,21604861.2,5.63,0.03
d315a280-57e5-49ad-b301-8d4de67cb828,Ford LLC,11381477.86,42002140.98,Term Loan,Industrial,Equipment,11.87,2025-02-02,2032-03-18,Closed,ET,EUR,Subordinate Lien,No,1966771.92,11477410.19,1.71,0.95,985897.85,"Arias, Jones and Oneill",D,No,Expansion,BBB,5551,D,Quarterly,Disposed,Uh-####,115167226.56,194671569.99,63256403.85,42633589.57,357308612.49,193741671.37,3941224.78,2.61,0.13
74206a6b-dcf8-4f8e-9681-65d08ca37be2,Todd-Mendoza,35457310.32,39526311.48,Revolving Credit,Mixed,Inventory,9.14,2022-01-02,2026-07-30,Defaulted,MN,USD,Subordinate Lien,Yes,8125974.08,15839421.04,2.43,0.96,420121.6,White Ltd,E,No,Refinancing,AA,5961,B,Annually,Retained,LL-####,223712892.3,341470991.63,15587855.92,21905408.17,193970042.17,45506076.8,6890598.39,3.16,0.04
592e69be-54a7-4b52-af59-9357f93b6992,"Molina, Henry and Hayden",17720750.79,43485179.12,Term Loan,Retail,Real Estate,5.5,2022-03-11,2033-02-05,Defaulted,CG,EUR,Subordinate Lien,Yes,9089813.47,17225154.77,2.39,0.76,33604.53,"Stephens, Anderson and Byrd",B,No,Working Capital,AAA,5023,A,Monthly,Disposed,ew-####,286189624.24,142635700.11,2861334.37,14728510.09,154413144.58,103933280.29,29599784.92,9.93,0.09
